1	Skull Crush	[#ffc24a]Skull Crush[#] [#ff6826](Cooldown : 44 Sec)[#]\nAttack an enemy with 150% Physical Attack.
2	Skull Crush	[#ffc24a]Skull Crush[#] [#ff6826](Cooldown : 44 Sec)[#]\nAttack an enemy with 160% Physical Attack.
3	Skull Crush	[#ffc24a]Skull Crush[#] [#ff6826](Cooldown : 44 Sec)[#]\nAttack an enemy with 170% Physical Attack.
4	Lucky Shroom	[#ffc24a]Lucky Shroom[#] [#ff6826](Cooldown : 132 Sec)[#]\nRecover HP by 40%.
5	Lucky Shroom	[#ffc24a]Lucky Shroom[#] [#ff6826](Cooldown : 132 Sec)[#]\nRecover HP by 45%.
6	Lucky Shroom	[#ffc24a]Lucky Shroom[#] [#ff6826](Cooldown : 132 Sec)[#]\nRecover HP by 50%.
10	Body Ram	[#ffc24a]Body Ram[#] [#ff6826](Cooldown : 44 Sec)[#]\nAttack an enemy with 150% Magic Attack.
11	Body Ram	[#ffc24a]Body Ram[#] [#ff6826](Cooldown : 44 Sec)[#]\nAttack an enemy with 160% Magic Attack.
12	Body Ram	[#ffc24a]Body Ram[#] [#ff6826](Cooldown : 44 Sec)[#]\nAttack an enemy with 170% Magic Attack.
13	Blessed Leaf	[#ffc24a]Blessed Leaf[#] [#ff6826](Cooldown : 59 Sec)[#]\nRemove debuffs from an ally.\n(Decrease HP by 25% if Death debuff is removed.)
14	Blessed Leaf	[#ffc24a]Blessed Leaf[#] [#ff6826](Cooldown : 59 Sec)[#]\nRemove debuffs from an ally.\n(Decrease HP by 25% if Death debuff is removed.)
15	Blessed Leaf	[#ffc24a]Blessed Leaf[#] [#ff6826](Cooldown : 54 Sec)[#]\nRemove debuffs from an ally.\n(Decrease HP by 25% if Death debuff is removed.)
19	Bounce	[#ffc24a]Bounce[#] [#ff6826](Cooldown : 44 Sec)[#]\nAttack an enemy with 150% Magic Attack.
20	Bounce	[#ffc24a]Bounce[#] [#ff6826](Cooldown : 44 Sec)[#]\nAttack an enemy with 160% Magic Attack.
21	Bounce	[#ffc24a]Bounce[#] [#ff6826](Cooldown : 44 Sec)[#]\nAttack an enemy with 170% Magic Attack.
22	Elastic Jelly	[#ffc24a]Elastic Jelly[#] [#ff6826](Cooldown : 54 Sec)[#]\nIncrease Defense by 30% for 2 turns.
23	Elastic Jelly	[#ffc24a]Elastic Jelly[#] [#ff6826](Cooldown : 54 Sec)[#]\nIncrease Defense by 40% for 2 turns.
24	Elastic Jelly	[#ffc24a]Elastic Jelly[#] [#ff6826](Cooldown : 54 Sec)[#]\nIncrease Defense by 50% for 2 turns.
28	Bounce	[#ffc24a]Bounce[#] [#ff6826](Cooldown : 48 Sec)[#]\nAttack an enemy with 160% Magic Attack.
29	Bounce	[#ffc24a]Bounce[#] [#ff6826](Cooldown : 48 Sec)[#]\nAttack an enemy with 170% Magic Attack.
